Kod;Nazwa;Sekcje wg PKD 2007;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;og—¸em;2017;10411202;etat; 
0000000;POLSKA;og—¸em;2018;10606173;etat; 
0000000;POLSKA;og—¸em;2020;10700897;etat; 
0000000;POLSKA;og—¸em;2019;10799559;etat; 
0000000;POLSKA;og—¸em;2021;10874675;etat; 
0000000;POLSKA;og—¸em;2022;11032433;etat; 
0000000;POLSKA;Sekcja B;2012;-;etat; 
0000000;POLSKA;Sekcja D;2012;-;etat; 
0000000;POLSKA;Sekcja E;2012;-;etat; 
0000000;POLSKA;Sekcja B;2013;-;etat; 
0000000;POLSKA;Sekcja D;2013;-;etat; 
0000000;POLSKA;Sekcja E;2013;-;etat; 
0000000;POLSKA;Sekcja B;2014;-;etat; 
0000000;POLSKA;Sekcja D;2014;-;etat; 
0000000;POLSKA;Sekcja E;2014;-;etat; 
0000000;POLSKA;Sekcja B;2015;-;etat; 
0000000;POLSKA;Sekcja D;2015;-;etat; 
0000000;POLSKA;Sekcja E;2015;-;etat; 
0000000;POLSKA;Sekcja B;2016;-;etat; 
0000000;POLSKA;Sekcja D;2016;-;etat; 
0000000;POLSKA;Sekcja E;2016;-;etat; 
0000000;POLSKA;Sekcja B;2017;-;etat; 
0000000;POLSKA;Sekcja D;2017;-;etat; 
0000000;POLSKA;Sekcja E;2017;-;etat; 
0000000;POLSKA;Sekcja B;2018;-;etat; 
0000000;POLSKA;Sekcja D;2018;-;etat; 
0000000;POLSKA;Sekcja E;2018;-;etat; 
0000000;POLSKA;Sekcja B;2019;-;etat; 
0000000;POLSKA;Sekcja D;2019;-;etat; 
0000000;POLSKA;Sekcja E;2019;-;etat; 
0000000;POLSKA;Sekcja B;2020;-;etat; 
0000000;POLSKA;Sekcja D;2020;-;etat; 
0000000;POLSKA;Sekcja E;2020;-;etat; 
0000000;POLSKA;Sekcja B;2021;-;etat; 
0000000;POLSKA;Sekcja D;2021;-;etat; 
0000000;POLSKA;Sekcja E;2021;-;etat; 
0000000;POLSKA;Sekcja B;2022;-;etat; 
0000000;POLSKA;Sekcja D;2022;-;etat; 
0000000;POLSKA;Sekcja E;2022;-;etat; 
0000000;POLSKA;og—¸em;2023;-;etat;n
0000000;POLSKA;Sekcja A;2023;-;etat;n
0000000;POLSKA;Sekcja: B+C+D+E;2023;-;etat;n
0000000;POLSKA;Sekcja B;2023;-;etat; 
0000000;POLSKA;Sekcja C;2023;-;etat;n
0000000;POLSKA;Sekcja D;2023;-;etat; 
0000000;POLSKA;Sekcja E;2023;-;etat; 
0000000;POLSKA;Sekcja F;2023;-;etat;n
0000000;POLSKA;Sekcja G;2023;-;etat;n
0000000;POLSKA;Sekcja H;2023;-;etat;n
0000000;POLSKA;Sekcja I;2023;-;etat;n
